Date,Product,Category,Units Sold,Revenue
2026-01-05,Laptop,Electronics,12,14400
2026-01-08,Mouse,Accessories,45,1350
2026-01-12,Keyboard,Accessories,30,2400
2026-01-18,Monitor,Electronics,15,4500
2026-02-03,Laptop,Electronics,18,21600
2026-02-10,Mouse,Accessories,52,1560
2026-02-15,Keyboard,Accessories,37,2960
2026-02-20,Monitor,Electronics,21,6300
2026-03-02,Laptop,Electronics,20,24000
2026-03-08,Mouse,Accessories,60,1800
2026-03-15,Keyboard,Accessories,42,3360
2026-03-21,Monitor,Electronics,25,7500
